,artist,title,year,†artist,*artist
N00899,Thomas Daniell,"Bridge near Rajmahal, Bihar",1780,1840,1749
N05977,Abraham Cooper,Draught Horses,1810,1868,1787
N04414,Philip Connard,Woman on a Balcony,1900,1958,1875
N01955,Hugh Carter,The Last Ray,1860,1903,1837
N01475,Charles Brooking,Fishing Smacks Becalmed near a Shore,1730,1759,1723
N01671,Sir William Beechey,Alexander P. Johnstone,1780,1839,1753
N04997,Edward Wolfe,Laugharne Castle,1930,1982,1897
T04131,Adrian Wiszniewski,Kasmin and Kappo,1960,1958,1958
N01254,"Unknown artist, Britain",Hyde Park Corner,0,-1,-1
N02000,Joseph Mallord William Turner,"Sketch for ‘East Cowes Castle, the Regatta Starting for Their Moorings’ No. 2",1800,1851,1775
N05509,Joseph Mallord William Turner,Outline of a Venus Pudica,1800,1851,1775
TW0361,Joseph Mallord William Turner,Margate Harbour,1800,1851,1775
N05511,Joseph Mallord William Turner,A Lady in a Van Dyck Costume,1800,1851,1775
T03656,Geoffrey Tibble,The Mug,1920,1952,1909
T03658,Geoffrey Tibble,Dressing,1920,1952,1909
N06021,Gilbert Spencer,"Sashes Meadow, Cookham",1920,1979,1892
N01480,Attributed to Sir Martin Archer Shee,Gilbert Stuart,1800,1850,1769
T00065,George Romney,Midshipman George Cumberland,1760,1802,1734
T01073,Ramsay Richard Reinagle,A Boy Reading,1800,1862,1775
T06535,Allan Ramsay,Portrait of Martha Baker,1740,1784,1713
T06817,André Masson,Riez,1930,1987,1896
N05320,James Bolivar Manson,Pinks in a Vase,1900,1945,1879
T02363,George Henry Laporte,Arab Mare and Foal with Attendant by a Ruined Temple,1820,1873,1799
N05133,Percy Horton,The Invalid,1920,1970,1897
N00424,Solomon Alexander Hart,Interior of a Polish Synagogue at the Moment when the Manuscript of the Law is Elevated,1830,1881,1806
N01548,Keeley Halswelle,Pangbourne,1850,1891,1832
N04835,Oliver Hall,Vale of Festiniog,1900,1957,1869
T07488,Alvaro Guevara,Puppets,1910,1951,1894
N00450,Frederick Goodall,The Village Holiday,1850,1904,1822
T00008,Sir William Gillies,Esperston,1920,1973,1898
N01781,William Powell Frith,Uncle Toby and the Widow Wadman,1850,1909,1819
T03422,Abraham Cooper,The Day Family,1810,1868,1787
N01780,Edward William Cooke,"Canal of the Giudecca, Venice",1830,1880,1811
N02649,Lionel Bicknell Constable,Near Stoke-by-Nayland,1850,1887,1828
T03597,Richard Carline,Sea Shore,1920,1980,1896
T06497,Rodney J. Burn,"Waterlow Park, Highgate",1930,1984,1899
N01670,Sir William Beechey,James P. Johnstone,1780,1839,1753
T03287,Karl Weschke,Body on the Beach,1950,2005,1925
T01586,Thomas Weaver,"Foxgloves and Brambles, with a Hawk Confronting an Adder",620,1843,5
N03606,William Strang,Self-Portrait,1880,1921,1859
N03193,Philip Wilson Steer,Richmond Castle,1890,1942,1860
N05272,Charles Spencelayh,Rochester Castle,1900,1958,1865
T00018,William Shayer Senior,A Village Festival,1820,1879,1787
N05436,Sir William Rothenstein,"The White Cliffs, Vaucottes",1900,1945,1872
N05553,Sir William Rothenstein,Barnett Freedman,1900,1945,1872
N05023,Sir Joshua Reynolds,Admiral Sir Robert Kingsmill,1750,1792,1723
N04693,Sir Henry Raeburn,Mrs Charles Steuart,1780,1823,1756
N03518,John Opie,The Artist’s Mother,1780,1807,1761
N04802,Madge Oliver,"Interior, Pierrefroide",1890,1924,1874
N01916,Patrick Nasmyth,The Severn off Portishead,1800,1831,1787
T13582,Simon Linke,Remembering Marcel 1987,1960,1958,1958
N00443,George Lance,Fruit (‘The Summer Gift’),1820,1864,1802
T13012,R.B. Kitaj,Count West-West,1960,2007,1932
T03243,Allen Jones,Santa Monica Shore,1940,1937,1937
T00194,Augustus John OM,Theodore Powys,1910,1961,1878
N01967,Frederick Yeates Hurlstone,A Scene from ‘Gil Blas’,1820,1869,1800
N04674,Alfred Robert Hayward,"Sunset on the Lagoon, Venice",1910,1971,1875
T00033,Derrick Greaves,Domes of Venice,1930,1927,1927
T03099,Patrick George,"Hickbush, the Grove I",1950,2016,1923
N02138,Arthur Friedenson,Runswick Bay,1900,1955,1872
T00279,Anthony Devas,Mrs Dylan Thomas,1930,1958,1911
N01785,Thomas Creswick,The Ford,1830,1869,1811
T00549,Harold Cohen,Tribune,1960,2016,1928
N01591,Sir Francis Legatt Chantrey,Self-Portrait,1800,1841,1781
N03324,Sir David Cameron,Stirling Castle,1890,1945,1865
N01898,Sir Arnesby Brown,Morning,1900,1955,1866
N02682,George Frederic Watts,Eustace Smith,1850,1904,1817
N02978,William Turner of Oxford,Skating,1810,1862,1789
N02959,Joseph Mallord William Turner,Italian Bay,1800,1851,1775
N00491,Joseph Mallord William Turner,"Harvest Dinner, Kingston Bank",1800,1851,1775
N03381,Joseph Mallord William Turner,Archway with Trees by the Sea; Sketch for ‘The Parting of Hero and Leander’,1800,1851,1775
N05483,Joseph Mallord William Turner,An Avenue of Trees,1800,1851,1775
T00946,Geoffrey Tibble,Still Life,1920,1952,1909
N05033,Niklavs Strunke,The Town of Kraslava,1920,1966,1894
N04782,Sir Matthew Smith,Cyclamen,1910,1959,1879
N04912,Walter Richard Sickert,Jacques-Emile Blanche,1890,1942,1860
N01181,William Mulready,A Sea-Shore,1810,1863,1786
N04813,Ambrose McEvoy,The Hon. Mrs Cecil Baring,1890,1927,1877
N05989,Louis Marcoussis,Rain,1900,1941,1878
N04201,William York Macgregor,The Carse of Stirling,1880,1923,1855
N05080,John William Buxton Knight,Shore Scene,1860,1908,1842
T13008,R.B. Kitaj,Creeley,1960,2007,1932
T01570,William Hogarth,"Thomas Pellett, M.D.",1720,1764,1697
T00007,Sir William Gillies,Summer Stream,1920,1973,1898
N03553,Mark Fisher,Feeding the Fowls,1870,1923,1841
T00611,Malcolm Drummond,"Boyne Hill Vicarage, Maidenhead",1900,1945,1880
N04962,Francis Dodd,In the Parlour,1900,1949,1874
N03957,Francis Dodd,A Smiling Woman,1900,1949,1874
T00661,Sir Roger De Grey,Landscape from the Balcony,1940,1995,1918
N01779,Nicholas Thomas Dall,River Scene with Ruins,1760,1776,1748
T07600,James Boswell,Untitled (Iraq),1930,1971,1906
T07473,Derek Boshier,Frightened Cowboy,1940,1937,1937
T00030,Alfred Wolmark,Fisher Girl of Concarneau,1900,1961,1877
T01530,Robert Jay Wolff,Woodville,1930,1978,1905
N05842,Richard Wilson,Hounslow Heath,1740,1782,1713
N01414,Richard Westall,"Philip Sansom, Jun., as a Child",1790,1836,1765
TW0531,Joseph Mallord William Turner,"East Cowes Castle, the Seat of J. Nash, Esq.; the Regatta Starting for their Moorings",1800,1851,1775
N03026,Joseph Mallord William Turner,Classical Harbour Scene; possibly based on Le Havre,1800,1851,1775
N01996,Joseph Mallord William Turner,Between Decks,1800,1851,1775
N01069,Thomas Stothard,Nymphs Discover the Narcissus,1780,1834,1755
T03580,Adrian Stokes,Still Life: Last Eleven (No. 6),1930,1972,1902
N05105,Sir Walter Russell,Carting Sand,1890,1949,1867
N05946,Sir William Rothenstein,The Butcher’s Shop under the Trees,1900,1945,1872
T02367,Richard Roper,"The Match between Aaron and Driver at Maidenhead, Aug. 1754: Driver Winning the Third Heat",1740,1775,1730
N05106,Sir George Pirie,Mother Duck,1890,1946,1863
N01534,John Phillip,The Promenade,1830,1867,1817
N05838,John Hamilton Mortimer,II. The Hero’s Father Blesses his Departure,1750,1779,1740
N05796,George Morland,Morning: Higglers Preparing for Market,1780,1804,1763
N04496,Ambrose McEvoy,The Ferry,1890,1927,1877
N04812,Paul Maze,Yachts,1920,1979,1887
N04972,Albert Houthuesen,Painted in a Welsh Village,1930,1979,1903
T03125,Ivon Hitchens,Figures in Sunlight,1920,1979,1893
N00337,William Hilton the Younger,Cupid and Nymph,1800,1839,1786
T01932,Roger Hilton,Untitled,1930,1975,1911
T13576,Alan Green,Broken Blue Angle,1960,2003,1932
T00406,William Gear,Feature in Landscape,1940,1997,1915
N01690,Edwin Edwards,The Thames from a Wharf at Waterloo Bridge,1840,1879,1823
N00311,Attributed to Gainsborough Dupont,Cottage Children,1770,1797,1754
T01139,Ebenezer Newman Downard,"A Mountain Path at Capel Curig, Wales",1860,1889,1849
N04963,Charles Cundall,Building in Berkeley Square,1920,1971,1890
N03423,Charles Conder,The Plum Tree,1880,1909,1868
T13200,Prunella Clough,Stack,1950,1999,1919
T00032,Robert Buhler,Barnett Freedman,1940,1989,1916
N05006,Henry Bishop,"Sirocco, Tetuan",1890,1939,1868
N04698,Henry Bishop,"Shakespeare’s Cliff, Dover",1890,1939,1868
N01392,John Zephaniah Bell,Cardinal Bourchier Urges the Widow of Edward IV to Let her Son out of Sanctuary,1820,1883,1794
T14001,Jan Wyck,A Cavalry Battle below a Fortress,1670,1700,1652
T12272,Fred Williams,Riverbed D,1950,1982,1927
N01654,George Frederic Watts,Russell Gurney,1850,1904,1817
T14868,Marie-Louise Von Motesiczky,People on a Train,1940,1996,1906
TW1814,Joseph Mallord William Turner,Venus and Adonis (‘Adonis Departing for the Chase’),1800,1851,1775
TW1073,Joseph Mallord William Turner,"East Cowes Castle, the Seat of J. Nash, Esq.; the Regatta Beating to Windward",1800,1851,1775
T07610,Jean Spencer,[no title],1960,1998,1942
T07608,Jean Spencer,[no title],1960,1998,1942
N04677,Ernest Leopold Sichel,Musical Instruments,1890,1941,1862
T02372,James Seymour,Mr Russell on his Bay Hunter,1720,1752,1702
N04099,Sir Walter Russell,The Blue Dress,1890,1949,1867
T14299,Victor Pasmore,Interior with Reclining Women,1940,1998,1908
T12546,Jock McFadyen,Purfleet: from Dracula’s Garden,1950,1950,1950
T00304,Mane-Katz,Orchestra,1920,1962,1894
T00208,Evert Lundquist,Woman in Red,1930,1994,1904
N04006,"Frederic, Lord Leighton","Puerta de los Vientos, near Ronda, Spain",1850,1896,1830
T03122,Ivon Hitchens,Balcony at Cambridge,1920,1979,1893
N00334,William Hilton the Younger,Study of Editha’s Head for ‘Editha and the Monks’,1800,1839,1786
T11914,René Daniëls,Mystic Transportation,1950,1950,1950
N03632,John Sell Cotman,The Drop Gate,1800,1842,1782
N05326,Philip Connard,Winter at Richmond,1900,1958,1875
T03450,Prunella Clough,Yellow Mesh,1950,1999,1919
T14097,Gillian Carnegie,Untitled,1970,1971,1971
N06178,Rodney J. Burn,Bembridge,1930,1984,1899
N04377,After Richard Parkes Bonington,On the French Coast,1810,1828,1802
T13277,Francis Alÿs,Untitled,1960,1959,1959
TW0886,Joseph Mallord William Turner,Scene in Derbyshire [formerly ‘Near Northcourt in the Isle of Wight’],1800,1851,1775
N02991,Joseph Mallord William Turner,"Overlooking the Coast, with Classical Building",1800,1851,1775
TW0358,Joseph Mallord William Turner,"Linlithgow Palace, Scotland",1800,1851,1775
T00216,Adrian Stokes,Olive Trees,1930,1972,1902
N05944,Elliott Seabrooke,Evening at Zandvoort,1910,1950,1886
T00066,Sir Joshua Reynolds,Mrs Richard Cumberland,1750,1792,1723
N02214,Frank Huddlestone Potter,Little Dormouse,1860,1887,1845
T01776,Alastair Morton,Opus 15 (Light Blue and Yellow),1930,1963,1910
T00630,Edward Lear,View of Reggio and the Straits of Messina,1840,1888,1812
T06982,Peter Kinley,Two Cows,1950,1988,1926
T06879,Peter Kinley,Figure in a Doorway,1950,1988,1926
N01320,Cornelius Johnson,Apolonius Veth,1620,1661,1593
N06218,Alvaro Guevara,The Artist’s Mother,1910,1951,1894
N05925,Thomas Gainsborough,Sir Francis Gregg,1750,1788,1727
T00086,Gianni Dova,Sudden Aggression,1950,1991,1925
N04427,Emma Ciardi,Diaphanous Day,1900,1933,1879
T01815,Attributed to John Butts,Poachers: View in the Dargle,1740,1764,1728
T00789,Peter Angellis,Conversation Piece,1700,1734,1685
T03539,John Vanderbank,"A Youth of the Lee Family, Probably William Lee of Totteridge Park",1710,1739,1694
N04764,"Unknown artist, Britain",Greenwich Hospital,0,-1,-1
TW0866,Joseph Mallord William Turner,"Dunstanborough Castle, N.E. Coast of Northumberland. Sun-rise after a Squally Night",1800,1851,1775
T03584,Adrian Stokes,Still Life: Last Eleven (No. 7),1930,1972,1902
N03392,Alfred Stevens,The Hon. and Rev. Samuel Best,1840,1875,1817
N02213,Alfred Stevens,Portrait of a Man,1840,1875,1817
T07412,James Rielly,Older Man,1960,1956,1956
N00784,John Opie,William Siddons,1780,1807,1761
T01890,Robert Ladbrooke,Wood Scene,1790,1842,1770
T13410,Robert Holyhead,Untitled,1970,1974,1974
T03123,Ivon Hitchens,Abstract Composition,1920,1979,1893
N00335,William Hilton the Younger,Study of a Monk’s Head for ‘Editha and the Monks’,1800,1839,1786
N06221,Allan Gwynne-Jones,Peaches in a Basket,1920,1982,1892
T00475,Sir Lawrence Gowing,Path with Elder and Hazel,1940,1991,1918
N01073,John Singleton Copley,Study for ‘The Collapse of the Earl of Chatham’,1760,1815,1738
T00236,Jack Clemente,Volcanic City,1940,1974,1926
N01156,George Arnald,View on the Ouse at York,1790,1841,1763
N04798,Richard Ansdell,A Ploughing Match,1840,1885,1815
T11836,John Wootton,"Viscount Weymouth’s Hunt: Mr Jackson, the Hon. Henry Villiers and the Hon. Thomas Villiers, with Hunters and Hounds",1710,1764,1682
N02646,Richard Wilson,"Baths of Ischia, near Naples",1740,1782,1713
N00315,Benjamin West,Sketch for ‘The Installation of the Order of the Garter’,1770,1820,1738
N05926,James Ward,A Spaniel Frightening Ducks,1800,1859,1769
N00387,Thomas Uwins,The Vintage in the Claret Vineyards of the South of France,1810,1857,1782
N02985,"Unknown artist, Britain",Landscape with a Dark Tree,0,-1,-1
D00899,"Unknown artist, Britain","Fragment of a Composition: A Ruin beyond a Lake, with Cattle in the Foreground",0,-1,-1
TW1777,Joseph Mallord William Turner,Returning from the Ball (St Martha),1800,1851,1775
N05490,Attributed to Joseph Mallord William Turner,Diana and Callisto (after Wilson),1800,1851,1775
N02707,Joseph Mallord William Turner,"Barge on the River, Sunset",1800,1851,1775
N04539,Alfred Thornton,St Germans,1890,1939,1863
N06247,John Souch,George Puleston (?),0,5,5
N00765,Robert Smirke,"Scene from Bickerstaffe’s Play ‘The Hypocrite’, Adapted from Colly Cibber’s ‘Non Juror’",1780,1845,1752
N06142,Walter Richard Sickert,Mrs Anna Knight,1890,1942,1860
N01191,John Christian Schetky,Loss of the ‘Royal George’,1810,1874,1778
N06216,Claude Rogers,Eclipse at Blandford,1930,1979,1907
N04148,William Roberts,The Char,1920,1980,1895
N04426,Louise Pickard,The Green Balcony,1890,1928,1865
N04854,Isidore Opsomer,Vase with Dahlias,1910,1967,1878
N04468,Sir David Murray,Summer Haze in Sussex,1880,1933,1849
N00396,William Mulready,The Young Brother,1810,1863,1786
T00187,Rodrigo Moynihan,Yellow and Violet,1940,1990,1910
T03158,Rodrigo Moynihan,Figure in Studio,1940,1990,1910
N00324,Sir Thomas Lawrence,The Countess of Darnley,1790,1830,1769
N04882,Alexander Jamieson,The Tuileries Gardens and the Rue de Rivoli,1890,1937,1873
T07551,Josef Herman,The Rower,1940,2000,1911
N03555,Oliver Hall,Shap Moors,1900,1957,1869
T00473,Sheila Fell,Snowscape IV,1950,1979,1931
N02894,Frank L. Emanuel,Kensington Interior,1890,1948,1865
T06531,Jeffrey Dennis,The Confinement of Richard Dadd,1960,1958,1958
N05123,Catherine Dean,Sheep’s Skull and Ferns,1930,1983,1905
N00341,Sir Augustus Wall Callcott,Dutch Coast Scene,1800,1844,1779
N04858,Terrick Williams,"Quiet Twilight, Honfleur",1890,1936,1860
N04556,George Frederic Watts,The Golden Age,1850,1904,1817
N04944,Dame Ethel Walker,The Hon. Mrs Adams,1890,1951,1861
N01997,Joseph Mallord William Turner,"Sketch for ‘East Cowes Castle, the Regatta Starting for Their Moorings’ No. 3",1800,1851,1775
N03385,Joseph Mallord William Turner,Dieppe: The Port from the Quai Henri IV,1800,1851,1775
T13667,Amikam Toren,Armchair Painting - Untitled (educating europe),1940,1945,1945
N02861,George Adolphus Storey,My Mother,1860,1919,1834
N02164,James Stark,Woody Landscape,1820,1859,1794
N04961,Sir Walter Russell,"High Tide, Blakeney",1890,1949,1867
T14121,Isabel Rawsthorne,Baboon and Child,1940,1992,1912
N00445,Frederick Richard Pickersgill,"Amoret, Aemylia and Prince Arthur, in the Cottage of Sclaunder",1850,1900,1820
N02877,John Opie,Mrs S.W. Reynolds,1780,1807,1761
N00353,Gilbert Stuart Newton,Yorick and the Grisette,1810,1835,1794
T12056,Markus Lüpertz,The Big Step,1940,1941,1941
T12857,Edwina Leapman,Untitled Deep Blue,1930,1934,1934
N04420,Marcellus Laroon the Younger,Interior with Figures,1710,1772,1679
N05431,Darsie Japp,Saddleback from Wallthwaite,1910,1973,1883
N04969,Edna Ginesi,"Landscape, North Wales",1930,2000,1902
T14248,Meredith Frampton,Portrait of Sir George Frampton,1920,1984,1894
N03450,Frederick W. Elwell,The ‘Beverley Arms’ Kitchen,1900,1958,1870
N00617,Sir William Fettes Douglas,Bibliomania,1840,1891,1822
N03888,Arthur Devis,Portrait of a Man,1740,1787,1711
N04879,Peter De Wint,Harvesting,1810,1849,1784
N02660,Formerly attributed to John Constable,Trunk and Lower Branches of a Tree,1800,1837,1776
N04472,Sir George Clausen,A Dancer,1880,1944,1852
L02445,Jeffery Camp,Rocket Over Venice,1920,1923,1923
N05327,Reginald Brundrit,Fresh Air Stubbs,1910,1960,1883
N04003,Charles Brooking,A Flagship before the Wind with other Vessels,1730,1759,1723
N04475,Beatrice Bland,Striped Camellias,1890,1951,1864
N01890,Studio of Richard Wilson,Valley with a Bridge over a River,1740,1782,1713
N01889,Richard Wilson,A View of the Thames,1740,1782,1713
N01175,James Ward,"Cattle-Piece, ? Marylebone Park",1800,1859,1769
N00509,Joseph Mallord William Turner,The Loretto Necklace,1800,1851,1775
N05544,Joseph Mallord William Turner,Seaport in the Grand Style,1800,1851,1775
N03380,Joseph Mallord William Turner,Rocky Bay,1800,1851,1775
N02992,Joseph Mallord William Turner,"Landscape with Tower, Trees and Figures; possibly Arcueil near Paris",1800,1851,1775
TW1812,Joseph Mallord William Turner,"Ivy Bridge Mill, Devonshire",1800,1851,1775
N00317,Thomas Stothard,The Vintage,1780,1834,1755
T03586,Adrian Stokes,Still Life: Last Eleven (No. 9),1930,1972,1902
T03583,Adrian Stokes,Still Life: Last Eleven (No. 8),1930,1972,1902
N04512,George Smith of Chichester,Landscape,1730,1776,1714
N05997,Sir William Rothenstein,Norman Hamlet,1900,1945,1872
T00925,John Inigo Richards,"Ivy Bridge, Devon",1760,1810,1731
T07653,David Reeb,Jerusalem Picture No.1,1950,1952,1952
N05025,John Phillip,The Antonia,1830,1867,1817
T14524,John Pettie,On the Dark Continent,1860,1893,1839
T00643,Edward Penny,The Gossiping Blacksmith,1740,1791,1714
T12466,Mangelos (Dimitrije Bašicevic),Dialogue with Death,1940,1987,1921
N02935,Arthur Lemon,An Encampment,1870,1912,1850
N03397,Sir Charles Holroyd,Sketch of G.F. Watts,1880,1917,1861
L01426,Patrick Heron,"Scarlet, Emerald, and Orange : July-September 1976",1950,1999,1920
T00458,Martin Froy,Two Figures Summer ‘61,1960,2017,1926
N01558,Edwin Douglas,Alderneys (Mother and Daughter),1870,1914,1848
N04939,Charles Conder,Gibraltar from Algeciras,1880,1909,1868
T14955,Ida Cadorin Barbarigo,Tables and Chairs,1930,1925,1925
T14956,Ida Cadorin Barbarigo,Tables and Chairs II,1930,1925,1925
N01205,Frederick Lee Bridell,"The Woods of Sweet Chestnut above Varenna, Lake Como",1840,1863,1831
N03848,Ethelbert White,Under the Hills,1920,1972,1891
N04937,James Ward,L’Amour de Cheval,1800,1859,1769
T13015,Marc Vaux,D1.6.,1930,1932,1932
N05492,Joseph Mallord William Turner,Scene in a Church or Vaulted Hall,1800,1851,1775
T03585,Adrian Stokes,Still Life: Last Eleven (No. 10),1930,1972,1902
T07612,Jean Spencer,[no title],1960,1998,1942
N05081,Frank Huddlestone Potter,Head of a Girl,1860,1887,1845
N04363,Nico Jungman,At Monnikendam,1890,1935,1872
T13409,Robert Holyhead,Untitled,1970,1974,1974
N04682,Vivian Forbes,The Fallen Statue,1910,1937,1891
N04895,Reginald G Eves,Max Beerbohm,1900,1941,1876
N04968,Raymond Coxon,Mountain Landscape,1930,1997,1896
